=== Demo09.5 调试日志 ===
时间: 2026-01-16 15:27:45
SENSITIVITY: 1.0
MOVE_COOLDOWN: 0.15
DEADZONE: 2
==================================================

[1768577284.134] 误差:(58,0) 距离:58 -> MOVE(ready)
[1768577284.170] 误差:(58,0) 距离:58 -> SKIP(waiting, chg=0)
[1768577284.209] 误差:(58,0) 距离:58 -> SKIP(waiting, chg=0)
[1768577284.243] 误差:(1,0) 距离:1 -> SKIP(deadzone)
[1768577284.279] 误差:(1,0) 距离:1 -> SKIP(deadzone)
[1768577284.312] 误差:(1,0) 距离:1 -> SKIP(deadzone)
[1768577284.352] 误差:(-8,12) 距离:14 -> MOVE(ready)
[1768577284.386] 误差:(-4,6) 距离:7 -> SKIP(waiting, chg=7)
[1768577284.416] 误差:(-1,3) 距离:3 -> MOVE(updated, chg=11)
[1768577284.455] 误差:(-2,3) 距离:4 -> SKIP(waiting, chg=1)
[1768577284.490] 误差:(7,-7) 距离:10 -> MOVE(updated, chg=13)
[1768577284.540] 误差:(-1,4) 距离:4 -> MOVE(updated, chg=14)
[1768577284.632] 误差:(6,-6) 距离:8 -> MOVE(updated, chg=12)
[1768577285.750] 误差:(-93,-6) 距离:93 -> MOVE(updated, chg=99)
[1768577285.783] 误差:(-93,-6) 距离:93 -> SKIP(waiting, chg=0)
[1768577285.827] 误差:(-93,-6) 距离:93 -> SKIP(waiting, chg=0)
[1768577285.860] 误差:(-7,-2) 距离:7 -> MOVE(updated, chg=86)
[1768577285.896] 误差:(-7,-2) 距离:7 -> SKIP(waiting, chg=0)
[1768577285.933] 误差:(-7,-2) 距离:7 -> SKIP(waiting, chg=0)
[1768577285.963] 误差:(-8,7) 距离:11 -> MOVE(updated, chg=9)
[1768577286.001] 误差:(-6,0) 距离:6 -> SKIP(waiting, chg=7)
[1768577286.048] 误差:(-6,0) 距离:6 -> SKIP(waiting, chg=7)
[1768577286.075] 误差:(11,-1) 距离:11 -> MOVE(updated, chg=21)
[1768577286.179] 误差:(8,1) 距离:8 -> SKIP(waiting, chg=4)
[1768577286.213] 误差:(5,2) 距离:5 -> SKIP(waiting, chg=7)
[1768577286.249] 误差:(5,-1) 距离:5 -> MOVE(timeout)
[1768577286.281] 误差:(6,-1) 距离:6 -> SKIP(waiting, chg=1)
[1768577286.324] 误差:(4,-1) 距离:4 -> SKIP(waiting, chg=1)
[1768577286.390] 误差:(5,0) 距离:5 -> SKIP(waiting, chg=1)
[1768577286.433] 误差:(8,0) 距离:8 -> MOVE(timeout)
[1768577286.467] 误差:(23,9) 距离:25 -> MOVE(updated, chg=17)
[1768577286.499] 误差:(38,7) 距离:39 -> MOVE(updated, chg=15)
[1768577286.541] 误差:(46,5) 距离:46 -> MOVE(updated, chg=8)
[1768577286.575] 误差:(20,-6) 距离:21 -> MOVE(updated, chg=28)
[1768577286.607] 误差:(-17,-11) 距离:20 -> MOVE(updated, chg=37)
[1768577286.643] 误差:(-16,-12) 距离:20 -> SKIP(waiting, chg=1)
[1768577286.684] 误差:(-81,-11) 距离:82 -> MOVE(updated, chg=64)
[1768577286.716] 误差:(-64,-4) 距离:64 -> MOVE(updated, chg=18)
[1768577286.749] 误差:(-64,-3) 距离:64 -> SKIP(waiting, chg=1)
[1768577286.788] 误差:(17,4) 距离:17 -> MOVE(updated, chg=81)
[1768577286.827] 误差:(80,7) 距离:80 -> MOVE(updated, chg=63)
[1768577286.860] 误差:(80,6) 距离:80 -> SKIP(waiting, chg=1)
[1768577286.906] 误差:(80,6) 距离:80 -> SKIP(waiting, chg=1)
[1768577286.934] 误差:(64,3) 距离:64 -> MOVE(updated, chg=16)
[1768577286.964] 误差:(-16,-1) 距离:16 -> MOVE(updated, chg=80)
[1768577286.996] 误差:(-16,-1) 距离:16 -> SKIP(waiting, chg=0)
[1768577287.037] 误差:(-16,-1) 距离:16 -> SKIP(waiting, chg=0)
[1768577287.066] 误差:(-79,-3) 距离:79 -> MOVE(updated, chg=63)
[1768577287.100] 误差:(-64,-3) 距离:64 -> MOVE(updated, chg=15)
[1768577287.141] 误差:(-64,-3) 距离:64 -> SKIP(waiting, chg=0)
[1768577287.172] 误差:(15,-1) 距离:15 -> MOVE(updated, chg=79)
[1768577287.212] 误差:(78,2) 距离:78 -> MOVE(updated, chg=63)
[1768577287.253] 误差:(78,2) 距离:78 -> SKIP(waiting, chg=0)
[1768577287.289] 误差:(63,2) 距离:63 -> MOVE(updated, chg=15)
[1768577287.325] 误差:(63,2) 距离:63 -> SKIP(waiting, chg=0)
[1768577287.358] 误差:(-14,1) 距离:14 -> MOVE(updated, chg=77)
[1768577287.390] 误差:(-77,0) 距离:77 -> MOVE(updated, chg=63)
[1768577287.430] 误差:(-77,0) 距离:77 -> SKIP(waiting, chg=0)
[1768577287.466] 误差:(-63,-1) 距离:63 -> MOVE(updated, chg=14)
[1768577287.499] 误差:(13,-1) 距离:13 -> MOVE(updated, chg=76)
[1768577287.538] 误差:(13,-1) 距离:13 -> SKIP(waiting, chg=0)
[1768577287.568] 误差:(14,-1) 距离:14 -> SKIP(waiting, chg=1)
[1768577287.606] 误差:(76,0) 距离:76 -> MOVE(updated, chg=63)
[1768577287.640] 误差:(63,1) 距离:63 -> MOVE(updated, chg=13)
[1768577287.679] 误差:(63,0) 距离:63 -> SKIP(waiting, chg=1)
[1768577287.711] 误差:(-12,0) 距离:12 -> MOVE(updated, chg=75)
[1768577287.753] 误差:(-74,0) 距离:74 -> MOVE(updated, chg=62)
[1768577287.792] 误差:(-74,0) 距离:74 -> SKIP(waiting, chg=0)
[1768577287.820] 误差:(-63,0) 距离:63 -> MOVE(updated, chg=11)
[1768577287.851] 误差:(-63,0) 距离:63 -> SKIP(waiting, chg=0)
[1768577287.889] 误差:(11,0) 距离:11 -> MOVE(updated, chg=74)
[1768577287.927] 误差:(74,0) 距离:74 -> MOVE(updated, chg=63)
[1768577287.961] 误差:(74,0) 距离:74 -> SKIP(waiting, chg=0)
[1768577287.998] 误差:(63,0) 距离:63 -> MOVE(updated, chg=11)
[1768577288.037] 误差:(-11,0) 距离:11 -> MOVE(updated, chg=74)
[1768577288.071] 误差:(-11,0) 距离:11 -> SKIP(waiting, chg=0)
[1768577288.098] 误差:(-76,0) 距离:76 -> MOVE(updated, chg=65)
[1768577288.344] 误差:(-97,-6) 距离:97 -> MOVE(updated, chg=22)
[1768577288.383] 误差:(-96,-6) 距离:96 -> SKIP(waiting, chg=1)
[1768577288.430] 误差:(-92,-5) 距离:92 -> SKIP(waiting, chg=5)
[1768577288.456] 误差:(15,-1) 距离:15 -> MOVE(updated, chg=112)
[1768577288.496] 误差:(24,-1) 距离:24 -> MOVE(updated, chg=9)
[1768577288.529] 误差:(24,-1) 距离:24 -> SKIP(waiting, chg=0)
[1768577288.566] 误差:(11,0) 距离:11 -> MOVE(updated, chg=13)
[1768577288.598] 误差:(-14,1) 距离:14 -> MOVE(updated, chg=25)
[1768577288.648] 误差:(-14,1) 距离:14 -> SKIP(waiting, chg=0)
[1768577288.687] 误差:(-25,1) 距离:25 -> MOVE(updated, chg=11)
[1768577288.707] 误差:(-11,1) 距离:11 -> MOVE(updated, chg=14)
[1768577288.750] 误差:(-12,1) 距离:12 -> SKIP(waiting, chg=1)
[1768577288.780] 误差:(-11,1) 距离:11 -> SKIP(waiting, chg=0)
[1768577288.825] 误差:(24,-1) 距离:24 -> MOVE(updated, chg=35)
[1768577288.854] 误差:(24,-1) 距离:24 -> SKIP(waiting, chg=0)
[1768577288.890] 误差:(24,-1) 距离:24 -> SKIP(waiting, chg=0)
[1768577288.922] 误差:(24,-1) 距离:24 -> SKIP(waiting, chg=0)
[1768577288.956] 误差:(2,-1) 距离:2 -> MOVE(updated, chg=22)
[1768577288.989] 误差:(2,-1) 距离:2 -> SKIP(waiting, chg=0)
[1768577289.029] 误差:(2,-1) 距离:2 -> SKIP(waiting, chg=0)
[1768577289.060] 误差:(-9,13) 距离:16 -> MOVE(updated, chg=18)
[1768577289.095] 误差:(2,0) 距离:2 -> SKIP(deadzone)
[1768577289.132] 误差:(2,-1) 距离:2 -> MOVE(ready)
[1768577289.170] 误差:(5,-5) 距离:7 -> SKIP(waiting, chg=5)
[1768577289.235] 误差:(2,1) 距离:2 -> SKIP(waiting, chg=2)
[1768577289.694] 误差:(-66,-8) 距离:66 -> MOVE(updated, chg=68)
[1768577289.733] 误差:(-51,-7) 距离:51 -> MOVE(updated, chg=15)
[1768577289.767] 误差:(-50,-7) 距离:50 -> SKIP(waiting, chg=1)
[1768577289.800] 误差:(12,-2) 距离:12 -> MOVE(updated, chg=63)
[1768577289.834] 误差:(9,-2) 距离:9 -> SKIP(waiting, chg=3)
[1768577289.876] 误差:(3,4) 距离:5 -> MOVE(updated, chg=11)
[1768577289.915] 误差:(-9,5) 距离:10 -> MOVE(updated, chg=12)
[1768577289.946] 误差:(-9,4) 距离:10 -> SKIP(waiting, chg=1)
[1768577289.979] 误差:(-9,5) 距离:10 -> SKIP(waiting, chg=0)
[1768577290.019] 误差:(-19,13) 距离:23 -> MOVE(updated, chg=13)
[1768577290.053] 误差:(-7,4) 距离:8 -> MOVE(updated, chg=15)
[1768577290.092] 误差:(-6,3) 距离:7 -> SKIP(waiting, chg=1)
[1768577290.122] 误差:(-4,1) 距离:4 -> SKIP(waiting, chg=4)
[1768577290.165] 误差:(22,-12) 距离:25 -> MOVE(updated, chg=33)
[1768577290.201] 误差:(22,-13) 距离:26 -> SKIP(waiting, chg=1)
[1768577290.230] 误差:(22,-13) 距离:26 -> SKIP(waiting, chg=1)
[1768577290.262] 误差:(15,-2) 距离:15 -> MOVE(updated, chg=12)
[1768577290.297] 误差:(-5,4) 距离:6 -> MOVE(updated, chg=21)
[1768577290.332] 误差:(-3,1) 距离:3 -> SKIP(waiting, chg=4)
[1768577290.368] 误差:(-16,0) 距离:16 -> MOVE(updated, chg=12)
[1768577290.407] 误差:(-10,-4) 距离:11 -> SKIP(waiting, chg=7)
[1768577290.441] 误差:(-9,-5) 距离:10 -> MOVE(updated, chg=9)
[1768577290.473] 误差:(-5,7) 距离:9 -> MOVE(updated, chg=13)
[1768577290.518] 误差:(8,3) 距离:9 -> MOVE(updated, chg=14)
[1768577290.550] 误差:(17,5) 距离:18 -> MOVE(updated, chg=9)
[1768577290.584] 误差:(21,-3) 距离:21 -> MOVE(updated, chg=9)
[1768577290.623] 误差:(13,-8) 距离:15 -> MOVE(updated, chg=9)
[1768577290.659] 误差:(-4,-12) 距离:13 -> MOVE(updated, chg=17)
[1768577290.694] 误差:(-25,-10) 距离:27 -> MOVE(updated, chg=21)
[1768577290.728] 误差:(-25,-11) 距离:27 -> SKIP(waiting, chg=1)
[1768577290.776] 误差:(22,3) 距离:22 -> MOVE(updated, chg=49)
[1768577290.815] 误差:(-9,11) 距离:14 -> MOVE(updated, chg=32)
[1768577290.841] 误差:(-9,11) 距离:14 -> SKIP(waiting, chg=0)
[1768577290.875] 误差:(-10,11) 距离:15 -> SKIP(waiting, chg=1)
[1768577290.924] 误差:(25,9) 距离:27 -> MOVE(updated, chg=34)
[1768577290.969] 误差:(-22,0) 距离:22 -> MOVE(updated, chg=48)
[1768577291.019] 误差:(-22,0) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.051] 误差:(9,-6) 距离:11 -> MOVE(updated, chg=32)
[1768577291.087] 误差:(-24,-6) 距离:25 -> MOVE(updated, chg=33)
[1768577291.122] 误差:(-24,-6) 距离:25 -> SKIP(waiting, chg=0)
[1768577291.161] 误差:(22,-2) 距离:22 -> MOVE(updated, chg=46)
[1768577291.195] 误差:(-10,3) 距离:10 -> MOVE(updated, chg=32)
[1768577291.232] 误差:(-10,3) 距离:10 -> SKIP(waiting, chg=0)
[1768577291.269] 误差:(23,2) 距离:23 -> MOVE(updated, chg=33)
[1768577291.305] 误差:(-22,2) 距离:22 -> MOVE(updated, chg=45)
[1768577291.340] 误差:(-22,2) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.386] 误差:(-22,2) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.415] 误差:(11,1) 距离:11 -> MOVE(updated, chg=33)
[1768577291.454] 误差:(-23,0) 距离:23 -> MOVE(updated, chg=34)
[1768577291.487] 误差:(-23,0) 距离:23 -> SKIP(waiting, chg=0)
[1768577291.526] 误差:(22,-1) 距离:22 -> MOVE(updated, chg=45)
[1768577291.563] 误差:(22,-1) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.599] 误差:(-11,-1) 距离:11 -> MOVE(updated, chg=33)
[1768577291.636] 误差:(23,-1) 距离:23 -> MOVE(updated, chg=34)
[1768577291.667] 误差:(23,-1) 距离:23 -> SKIP(waiting, chg=0)
[1768577291.707] 误差:(-22,0) 距离:22 -> MOVE(updated, chg=45)
[1768577291.745] 误差:(11,1) 距离:11 -> MOVE(updated, chg=33)
[1768577291.778] 误差:(11,1) 距离:11 -> SKIP(waiting, chg=0)
[1768577291.816] 误差:(-22,0) 距离:22 -> MOVE(updated, chg=33)
[1768577291.854] 误差:(22,0) 距离:22 -> MOVE(updated, chg=44)
[1768577291.889] 误差:(22,0) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.937] 误差:(22,0) 距离:22 -> SKIP(waiting, chg=0)
[1768577291.965] 误差:(-12,0) 距离:12 -> MOVE(updated, chg=34)
[1768577291.998] 误差:(22,0) 距离:22 -> MOVE(updated, chg=34)
[1768577292.033] 误差:(22,0) 距离:22 -> SKIP(waiting, chg=0)
[1768577292.073] 误差:(-22,0) 距离:22 -> MOVE(updated, chg=44)
[1768577292.104] 误差:(12,0) 距离:12 -> MOVE(updated, chg=34)
[1768577292.140] 误差:(11,0) 距离:11 -> SKIP(waiting, chg=1)
[1768577292.173] 误差:(9,0) 距离:9 -> SKIP(waiting, chg=3)
[1768577292.207] 误差:(7,0) 距离:7 -> SKIP(waiting, chg=5)
[1768577292.245] 误差:(-4,0) 距离:4 -> MOVE(updated, chg=16)
[1768577292.283] 误差:(-11,0) 距离:11 -> SKIP(waiting, chg=7)
[1768577292.320] 误差:(-18,0) 距离:18 -> MOVE(updated, chg=14)
[1768577292.354] 误差:(-32,12) 距离:34 -> MOVE(updated, chg=18)
[1768577292.392] 误差:(-33,8) 距离:34 -> SKIP(waiting, chg=4)
[1768577292.425] 误差:(-35,4) 距离:35 -> MOVE(updated, chg=9)
[1768577292.456] 误差:(-19,2) 距离:19 -> MOVE(updated, chg=16)
[1768577292.498] 误差:(10,-7) 距离:12 -> MOVE(updated, chg=30)
[1768577292.533] 误差:(-2,-11) 距离:11 -> MOVE(updated, chg=13)
[1768577292.565] 误差:(17,-12) 距离:21 -> MOVE(updated, chg=19)
[1768577292.598] 误差:(17,-12) 距离:21 -> SKIP(waiting, chg=0)
[1768577292.650] 误差:(9,1) 距离:9 -> MOVE(updated, chg=15)
[1768577292.677] 误差:(-9,9) 距离:13 -> MOVE(updated, chg=20)
[1768577292.706] 误差:(-9,9) 距离:13 -> SKIP(waiting, chg=0)
[1768577292.747] 误差:(-8,8) 距离:11 -> SKIP(waiting, chg=1)
[1768577292.783] 误差:(-9,2) 距离:9 -> SKIP(waiting, chg=7)
[1768577292.823] 误差:(-9,2) 距离:9 -> SKIP(waiting, chg=7)
[1768577292.857] 误差:(-9,2) 距离:9 -> MOVE(timeout)
[1768577292.889] 误差:(-9,1) 距离:9 -> SKIP(waiting, chg=1)
[1768577292.922] 误差:(-9,1) 距离:9 -> SKIP(waiting, chg=1)
[1768577292.953] 误差:(-9,1) 距离:9 -> SKIP(waiting, chg=1)
[1768577292.988] 误差:(3,0) 距离:3 -> MOVE(updated, chg=12)
[1768577293.024] 误差:(2,0) 距离:2 -> SKIP(deadzone)
[1768577293.057] 误差:(2,0) 距离:2 -> SKIP(deadzone)
[1768577293.091] 误差:(2,0) 距离:2 -> SKIP(deadzone)
[1768577293.124] 误差:(-6,9) 距离:11 -> MOVE(ready)
[1768577293.167] 误差:(2,0) 距离:2 -> SKIP(deadzone)
[1768577293.201] 误差:(2,1) 距离:2 -> MOVE(ready)
[1768577293.230] 误差:(49,7) 距离:49 -> MOVE(updated, chg=47)
[1768577293.265] 误差:(48,4) 距离:48 -> SKIP(waiting, chg=3)
[1768577293.299] 误差:(46,1) 距离:46 -> SKIP(waiting, chg=7)
[1768577293.332] 误差:(-5,11) 距离:12 -> MOVE(updated, chg=54)
[1768577293.377] 误差:(-5,8) 距离:9 -> SKIP(waiting, chg=3)
[1768577293.406] 误差:(-5,6) 距离:8 -> SKIP(waiting, chg=5)
[1768577293.438] 误差:(0,-6) 距离:6 -> MOVE(updated, chg=18)
[1768577293.476] 误差:(1,-9) 距离:9 -> SKIP(waiting, chg=3)
[1768577293.513] 误差:(1,-12) 距离:12 -> SKIP(waiting, chg=6)
[1768577293.545] 误差:(1,-10) 距离:10 -> SKIP(waiting, chg=4)
[1768577293.582] 误差:(1,-13) 距离:13 -> SKIP(waiting, chg=7)
[1768577293.618] 误差:(2,-15) 距离:15 -> MOVE(updated, chg=9)
[1768577293.655] 误差:(2,-15) 距离:15 -> SKIP(waiting, chg=0)
[1768577293.694] 误差:(2,-15) 距离:15 -> SKIP(waiting, chg=0)
[1768577293.722] 误差:(2,-15) 距离:15 -> SKIP(waiting, chg=0)
[1768577293.763] 误差:(2,-12) 距离:12 -> SKIP(waiting, chg=3)
[1768577293.794] 误差:(2,-12) 距离:12 -> MOVE(timeout)
[1768577293.829] 误差:(1,-12) 距离:12 -> SKIP(waiting, chg=1)
[1768577293.862] 误差:(1,-9) 距离:9 -> SKIP(waiting, chg=3)
[1768577293.907] 误差:(-2,5) 距离:5 -> MOVE(updated, chg=17)
[1768577293.940] 误差:(-2,4) 距离:4 -> SKIP(waiting, chg=1)
[1768577293.986] 误差:(-2,4) 距离:4 -> SKIP(waiting, chg=1)
[1768577294.016] 误差:(-1,0) 距离:1 -> SKIP(deadzone)
[1768577294.050] 误差:(-9,12) 距离:15 -> MOVE(ready)
[1768577294.084] 误差:(-1,5) 距离:5 -> MOVE(updated, chg=11)
[1768577294.125] 误差:(0,2) 距离:2 -> SKIP(deadzone)
[1768577294.163] 误差:(6,-6) 距离:8 -> MOVE(ready)
[1768577294.194] 误差:(10,-9) 距离:13 -> SKIP(waiting, chg=5)
[1768577294.333] 误差:(-39,6) 距离:39 -> MOVE(updated, chg=47)
[1768577295.072] 误差:(-95,-7) 距离:95 -> MOVE(updated, chg=57)
[1768577295.115] 误差:(-96,-9) 距离:96 -> SKIP(waiting, chg=2)
[1768577295.147] 误差:(-96,-7) 距离:96 -> SKIP(waiting, chg=1)
[1768577295.185] 误差:(-8,-6) 距离:10 -> MOVE(updated, chg=87)
[1768577295.221] 误差:(-8,-6) 距离:10 -> SKIP(waiting, chg=0)
[1768577295.256] 误差:(-8,-6) 距离:10 -> SKIP(waiting, chg=0)
[1768577295.290] 误差:(4,0) 距离:4 -> MOVE(updated, chg=13)
[1768577295.345] 误差:(4,0) 距离:4 -> SKIP(waiting, chg=0)
[1768577295.402] 误差:(-12,12) 距离:17 -> MOVE(updated, chg=20)
[1768577295.435] 误差:(-83,7) 距离:83 -> MOVE(updated, chg=71)
[1768577295.487] 误差:(3,0) 距离:3 -> MOVE(updated, chg=86)
[1768577295.543] 误差:(-9,-13) 距离:16 -> MOVE(updated, chg=18)
[1768577295.573] 误差:(-9,-13) 距离:16 -> SKIP(waiting, chg=0)
[1768577295.619] 误差:(4,0) 距离:4 -> MOVE(updated, chg=18)
[1768577295.699] 误差:(-7,3) 距离:8 -> MOVE(updated, chg=11)
[1768577295.737] 误差:(-5,2) 距离:5 -> SKIP(waiting, chg=2)
[1768577295.794] 误差:(-4,11) 距离:12 -> MOVE(updated, chg=9)
[1768577295.829] 误差:(3,5) 距离:6 -> MOVE(updated, chg=9)
[1768577295.869] 误差:(2,2) 距离:3 -> SKIP(waiting, chg=3)
[1768577295.916] 误差:(5,-9) 距离:10 -> MOVE(updated, chg=14)
[1768577295.941] 误差:(3,-15) 距离:15 -> SKIP(waiting, chg=6)
[1768577295.973] 误差:(2,-17) 距离:17 -> MOVE(updated, chg=9)
[1768577296.014] 误差:(5,-7) 距离:9 -> MOVE(updated, chg=10)
[1768577296.046] 误差:(3,1) 距离:3 -> MOVE(updated, chg=8)
[1768577296.099] 误差:(-1,10) 距离:10 -> MOVE(updated, chg=10)
[1768577296.125] 误差:(-7,13) 距离:15 -> SKIP(waiting, chg=7)
[1768577296.159] 误差:(-4,24) 距离:24 -> MOVE(updated, chg=14)
